date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Nov%202012%2005:28:08%20GMT	http://www.devitis.com/robots.txt		(from )
00:28:08	12658/12658	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:08%20GMT	http://www.devitis.com/	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/index.html	(from )
00:28:08	99/99	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/pagebk.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/pagebk.gif	(from )
00:28:09	811/811	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/Headerbk.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/Headerbk.gif	(from )
00:28:09	18278/18278	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/logo.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/logo.gif	(from )
00:28:10	14071/14071	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:09%20GMT	http://www.devitis.com/devitis.asp?get=history	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitisb299.html	(from )
00:28:10	18630/18630	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:09%20GMT	http://www.devitis.com/devitis.asp?get=gallery	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitiseb03.html	(from )
00:28:11	26242/26242	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:10%20GMT	http://www.devitis.com/devitis.asp?get=kitchen	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitis5b4a.html	(from )
00:28:12	32832/32832	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:10%20GMT	http://www.devitis.com/devitis.asp?get=tray	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitis6c83.html	(from )
00:28:13	13136/13136	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:12%20GMT	http://www.devitis.com/devitis.asp?get=contact	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitise70b.html	(from )
00:28:14	6748/6748	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/Header_menu.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/Header_menu.gif	(from )
00:28:14	807/807	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/dot.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/dot.gif	(from )
00:28:14	632/632	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/readmorelt.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/readmorelt.gif	(from )
00:28:14	1042/1042	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/todayspecial.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/todayspecial.gif	(from )
00:28:15	458/458	---M--	200	added ('OK')	image/png	etag:%2209e1ff4f1f8ca1:0%22	http://www.devitis.com/pic.png	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/pic.png	(from )
00:28:19	27850/27850	---M--	200	added ('OK')	image/png	etag:%220585cd0f1f8ca1:0%22	http://www.devitis.com/nopic.png	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/nopic.png	(from )
00:28:20	27301/27301	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:20%20GMT	http://www.devitis.com/devitis.asp?get=weekly	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitisb27a.html	(from )
00:28:21	572/572	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/allweek.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/allweek.gif	(from )
00:28:21	897/897	---M--	200	added ('OK')	image/gif	etag:%220a0837df3f8ca1:0%22	http://www.devitis.com/images/whatsnew.gif	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/images/whatsnew.gif	(from )
00:28:22	14018/14018	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:21%20GMT	http://www.devitis.com/devitis.asp?get=page2	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitisde51.html	(from http://www.devitis.com/)
00:28:22	18617/18617	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:22%20GMT	http://www.devitis.com/devitis.asp?ID=&get=gallery&devitis:next=2	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitis6973.html	(from http://www.devitis.com/)
00:28:23	18628/18628	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:22%20GMT	http://www.devitis.com/devitis.asp?ID=&get=gallery&devitis:next=3	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitis68c9.html	(from http://www.devitis.com/)
00:28:24	18629/18629	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:24%20GMT	http://www.devitis.com/devitis.asp?ID=&get=gallery&devitis:next=4	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitis02e3.html	(from http://www.devitis.com/)
00:28:25	16162/16162	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:24%20GMT	http://www.devitis.com/devitis.asp?ID=&get=gallery&devitis:next=5	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/devitis4bf7.html	(from http://www.devitis.com/)
00:28:25	4655/4655	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202012%2005:28:25%20GMT	http://www.devitis.com/viewimage.asp?show_what=41	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/viewimage47b1.html	(from http://www.devitis.com/)
00:28:27	7097/7097	---M--	200	added ('OK')	image/jpeg	etag:%220e646a1f3f8ca1:0%22	http://www.devitis.com/thumbs/129200303333.low.jpg	C:/Users/Nicholas/Documents/Virtual%20Theologies/Web%20Development/Dreamweaver/Web%20Sites/www.devitis.com/www.devitis.com/thumbs/129200303333.low.jpg	(from http://www.devitis.com/)
